Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
55041.3515833392,7.1271285527,8.5919232941,5.36,30122.4734835579,1071279.21024454
50218.7084630007,6.1188081306,7.3335540721,6.29,16810.7833112579,534305.132334929
55909.3222951535,5.4195629107,9.2898543723,6,22355.2354066691,936368.963404861
74372.8102091551,5.5001285728,6.5930456039,2.07,39395.1511823291,1199193.83132951
78667.9045976474,5.4706522068,7.7808366929,4.1,27637.656548219,1233220.00947781
78699.5151029104,5.6527836365,6.7564538563,3.01,22836.6075694913,1081150.12548381
53128.1854489144,5.1806641248,5.4269028586,2.39,32947.7119550689,524712.766067453
17796.6311895434,4.9495570056,6.7139054447,2.5,47162.1836431914,302355.835978956
58566.8493634206,6.5796914529,5.0345253519,2.17,39705.4649593564,1026817.39978846
75537.7945100003,7.8452159144,7.5556607208,6.3,32778.1953418883,1762214.67958189
46147.0530563434,6.6233328293,7.6068315497,4.43,27161.1286079462,882057.170592842
70421.4764876077,6.90708297,7.6343187314,4.44,43183.928487881,1744932.21099093
62614.4206191273,5.4993096971,7.4405052179,6.32,26888.5795629391,1153871.46950163
66394.8715858483,7.0695121538,7.2046397092,3.18,39741.0775094335,1499988.87952261
73946.8510739782,4.8631543061,7.5371823654,6.35,35261.1270183689,1109588.38016251
69144.7457074398,7.2962244969,5.928223473,3.22,19030.6154867746,980177.305137126
77278.6970281866,6.2388910148,6.9192041364,2.13,21725.9542896347,1323952.02742518
86754.1966286121,6.6044398186,6.2524548053,4.02,43017.4407571536,1662494.73554439
74399.8409819142,6.3824529122,7.2526653224,6.36,41084.6628246322,1417819.74021809
49408.1983401443,5.8259204756,5.8317389726,3.32,26881.1305979671,549976.145559579
62279.7900515739,6.1084499913,6.3061163498,4.12,35263.6531374524,1054770.98064753
73078.2040856183,5.9239063896,6.4454566905,3.32,54915.961781984,1415647.55343724
72942.705059134,4.7862222951,7.3198855301,6.41,24377.9090493166,948788.275709448
63819.6228511414,5.9498394706,8.0224692393,4.09,27825.5720612944,1159596.51861962
73265.4498879064,8.314761979,7.42559746,3.24,21030.9661771716,1547133.39640045
68488.1311730199,6.1161117483,7.18252748,5.08,18267.9547056388,1186688.50593835
55193.8574531501,7.186120667,5.0969174562,4.01,32537.818768918,772111.972102101
77434.689240445,6.3092713531,5.2197540292,3.06,36252.3406823443,1172730.15576932
66158.8815850131,4.4764290665,6.91174261,2.28,37098.7421723517,1111085.01689106
60502.9093338445,7.5333809861,5.7318241249,4.23,33579.6315121676,1022781.17074291
60910.8937933297,5.6354667376,7.3259737812,4.2,43347.8040011545,1274474.54589349
73931.9785215884,6.3941076666,4.5808399209,4.32,36543.0672805481,1213530.84986587
59539.9484501364,6.0185902433,7.0076761656,5.43,58600.8271496758,1411730.47725883
56547.5071874038,5.4354151826,6.5151498769,3.13,37585.2745762287,858685.565924956
65950.347016833,5.4765131578,6.7178443063,3.28,40110.8476049507,1200961.82092263
74533.1620819875,6.6793531301,5.9192307255,4,49481.5658076043,1520234.22937746
66422.9190517667,7.1220718503,7.0785837449,6.36,31019.3248206904,1360908.31962001
74334.4948489106,5.4190125641,6.2615352841,4.12,41640.4356606567,1360920.53038608
63538.3461582222,4.7644993081,7.1686624108,3.27,43282.1830042502,1146532.45474056
83953.1048390966,7.385134534,6.898846569,3.08,37283.3576459518,1789098.52069149
57279.0635758589,5.1181089048,6.5615202161,3.17,44023.7906849321,852099.464026854
56553.5502526617,5.6911292126,7.0212523543,3.15,29682.4098642278,746096.728900488
75795.575982591,5.7867800238,7.327325343,6.25,33197.7777426301,1534479.90656442
70848.7886587371,5.2823250205,6.7664446637,3.27,40458.7358695174,1215608.53105597
59787.4045039362,5.6531203155,6.5945922791,3.43,32402.1075491468,941594.32841077
64826.371894956,4.0109073371,8.2904198126,4.38,60286.0431013577,1204598.03746313
65925.8537962682,7.6055119537,7.0704095407,3.28,34171.3600736687,1597655.25841228
64419.2526383464,6.9544221256,8.516160048,6.16,39318.1707547239,1492011.49586213
58544.4602982388,8.5626105764,7.2763086291,4.28,30865.5869537453,1421216.50444086
68791.7916884853,4.7255522285,6.7042016042,4.11,48423.3224441769,1132522.90129471
82061.5652038386,4.1828282276,5.9630318841,4.1,36271.4084957492,1102821.43818081
80659.5254435962,5.436306202,7.1007534318,6.24,52947.0363600871,1856211.3503596
66668.0935210354,6.1849653386,7.8631274367,3.35,47075.2122326685,1687998.93296047
64721.5644963706,5.6776375268,6.9713317011,4.48,36115.8163644028,1063423.00726487
65199.989940295,6.4457428983,6.9371270281,3.2,28366.0354318534,1177289.88620479
74579.9895272463,4.6396541307,5.5214892988,3.07,42806.1466438013,1173474.37883732
76273.6703254929,7.8797518008,4.5001653476,3.39,46974.5787857534,1637259.99866779
67561.9420601389,5.2514007471,7.6585763389,4.04,35517.5418704043,1238938.290532
48904.9832693168,4.8449725308,5.4489560296,3.38,32960.7530701912,201898.086572496
72145.9672131515,6.3986259902,8.2586349235,6.06,28882.9008546737,1439506.10155701
70805.6106836014,4.4437289238,5.8091473055,3.3,29268.8267416847,585608.632622232
65383.3379172869,7.5125267787,6.6400320038,3.46,35114.4024634874,1294685.15854701
95450.2930860132,6.5950606848,6.8503610081,3.33,39388.5155210775,2014851.34416151
73698.6963572913,6.3727309322,6.5783520738,4.33,51815.0964186221,1840236.00580269
66263.9105011633,6.374930066,6.736974131,4.41,49829.9515004814,1441421.91299361
75394.7595816215,6.9333524675,7.8340998006,4.48,22268.0753055821,1498640.55065037
65984.7506448583,6.512270085,6.3164800202,2.38,21867.4769398945,954746.576432824
66477.2627922904,6.9821517251,6.0384879793,2.37,32458.9866990138,1124635.93162859
69284.2596369133,5.3474470914,7.1734258852,3.45,40282.7242801005,1169944.24775875
70404.4961037192,5.5440837255,6.0012613622,2.02,37127.9255010042,1114430.95342313
74218.4890218834,8.0697218675,6.5063743022,4.37,46770.6609678888,1783534.83882736
63441.7146451262,6.4716737266,7.0648111361,3.22,48061.7526733416,1302933.24756928
57493.9245702795,6.893260157,6.7340454162,4.41,47039.2153229413,1241483.61187325
81543.7773153344,5.5039231963,5.8970528363,2.14,9816.3008847085,954114.543953548
78633.973755089,5.4653932312,7.5311430119,3.24,43728.8034861971,1555320.50000112
52202.8537197135,4.8693061814,4.4143808658,2.23,42165.8124568679,404976.365896227
67980.3887819292,5.5629388143,6.1597052224,2.44,25909.0791964239,1073183.75984163
78568.4491640523,5.47573732,6.291600796,2.29,41016.6470911123,1422195.87945057
55472.6548269056,4.822147136,5.855972309,3.2,15353.956428663,340605.211312461
67579.2347944313,5.9732190045,7.7543575454,6.32,21762.9496856254,1170959.52628461
61456.1507037809,6.8829543264,6.4175726218,4.19,30821.4120865768,942838.164721813
60815.3903949614,7.1701285305,7.9843351222,4.11,31233.6493459101,1401613.91976932
51217.1811603719,5.3848414075,8.7761600336,3.41,47089.4750810975,1175504.48633204
63027.6747148583,4.8559681211,5.5809059375,2.3,35991.7206378878,608794.246692195
62484.855299128,6.4966514664,7.3227097742,5.13,26882.6517946772,946943.036217136
73923.4662743976,7.0055057848,7.1350633471,6.04,58745.3120275589,1819900.63664371
79737.6097639001,7.3159579272,6.611096005,2.17,28307.314325645,1463130.27297894
63890.4715676646,4.9723065685,7.9163863972,5.49,43416.4978209279,1252391.17984217
67310.0369527861,7.1937929889,7.7607325545,5.28,43310.6124282677,1714445.17463658
73145.7302178026,4.0965172428,7.2542174328,3.18,49463.3788790285,1291759.39266068
86924.3587656217,6.8329396988,7.7382955534,6.32,28719.4108881455,1809154.28936317
74384.1056290449,7.4114865707,5.164865476,2.3,17117.4436748408,1200539.36116778
67477.788184043,6.6235282933,7.9161716599,5.1,29763.9253486156,1300265.21041547
71202.9569203271,4.3188691329,6.6349540655,4.37,34207.3972084701,997448.728076994
85845.3177991955,6.7436529609,9.4687663692,3.46,46477.6786845017,2152959.40894309
72138.8704824495,7.1636409353,8.4857782627,5.45,35799.6382743218,1629983.84670324
44806.0051640555,4.494570528,4.7253251166,3.1,57390.8900738104,497579.446586873
67504.1784594896,5.3297985089,5.8944119489,4.36,37441.1205436144,890112.549317892
74706.1005317106,5.0033277644,5.6610641267,2.05,39680.6093204361,1064685.69873354
68898.3459133942,6.7876485293,7.8713526444,6.39,39515.5715616054,1530124.0163169
58118.0181607989,8.1372144711,5.6509002857,4.36,35598.390437472,1246246.82775976
77643.2830870967,6.0701159223,5.3810383594,4.45,35512.2550468822,1240754.93204638
67769.8255909987,8.0746936677,6.7616314076,4.22,33254.6034094282,1760734.69036401
74411.0598922667,5.5346275436,7.2101233612,6.44,43537.5029455051,1393746.76046743
73101.0787976686,4.1041299227,8.9203332213,4.35,29497.9712933537,1172385.89770456
58708.4171567401,5.0838610357,6.2628258836,4.07,15969.9260412398,483986.10899253
63876.0599100904,7.0802193255,7.1874329749,3.37,38052.876443166,1388530.15668361
68343.154091419,6.3924437901,8.425112895,6.2,40653.8700654017,1721739.3841385
73064.97996128,5.9940627995,7.2043688951,6.19,30699.3397105111,1276448.79204297
67367.2680827986,6.7747108087,6.6908948986,2.49,32547.2725330766,1161742.67744636
66547.1817515923,6.3506720419,5.3050004121,2.04,16741.9649871267,786407.945117428
73313.5453841825,6.4147232356,8.4929012289,4.46,37808.9966721212,1604920.97345841
47681.3617330345,6.8905082242,7.7882679862,5.13,50908.9789091107,1230149.13678644
67910.9491284623,6.445851907,6.6759372678,4.32,31379.7829705824,1051644.55402255
69277.8912498076,6.1425916814,7.8117244706,5.15,43717.9130919397,1415073.61418119
67946.7146756132,5.4031756729,5.6711363428,3.21,35197.9425690253,1043483.91513203
90975.1132724804,4.740683035,8.3203519863,6.45,44426.2136475975,1544379.74773568
61885.5464403289,5.4052659692,6.9141957696,3.22,48726.951303303,1352135.96726418
69401.8472172649,7.042354995,8.097044285,3.44,29293.074048931,1505727.4308014
72969.1212712305,6.1885757262,8.0769436036,4.2,31755.7213642399,1416965.97868824
75582.4597645351,5.5064734293,6.7749864185,4.33,31946.3038675233,1046721.97617325
56241.2267731318,5.6230870158,6.8186707535,2.18,32745.3681201538,939040.003560116
79412.8354717458,6.0873601687,7.4813211122,3.26,17568.7337605834,1383031.33236644
79618.2368460209,4.5661661009,6.6698884114,3.49,29636.5071105566,1072503.23794367
67019.0740473973,6.4879431667,7.3313301,6.26,24997.1087059943,1134397.75771537
56063.4808667633,5.1069351201,5.3853397775,4.14,39129.2967047029,734827.50801229
57077.5803040693,5.7754670406,6.9520266738,4.27,33393.9166032247,991892.317484247
75954.8182530182,4.2899162805,7.4187506028,5.04,34467.7586980099,1057252.5826211
52575.8151749222,7.1337194171,7.1736988819,4.06,41828.5796168868,1237224.85875182
63312.8056746774,6.1391154516,8.1996152414,4.41,43230.3521579572,1442632.54122656
82526.9621048191,6.4530734061,7.7482489526,4.46,43947.6802641226,1877402.31972695
73204.9421322881,6.6409158631,7.3119123213,6.4,35090.5008098677,1394518.41546763
56357.1931380549,5.7079031092,5.2403008866,3.25,38061.9982989562,953939.329905644
71316.6246504147,7.1077676872,7.0889926909,5.33,21651.6994092117,1219778.03420155
75046.8482039263,4.9830846285,8.8772400416,3,32468.031152301,1287325.38185667
84474.1600561902,6.9708547459,5.9359093262,2.47,38677.8151530554,1739893.5550496
68162.6839256686,6.962206716,6.6973580099,3.07,31843.8763372259,1213382.22263647
62784.3329483432,7.5723502153,4.6527175545,3.31,35122.3894716078,1007478.74843115
67009.8156737444,6.8497699366,7.6107208561,3.22,39737.1226089631,1528756.12615003
67437.2503633562,6.7673632373,6.7039172233,2.05,29356.2233679251,1182459.77166367
65967.7693085765,6.8477249761,7.7772794435,3.14,35799.9625483202,1474546.76214611
42816.3058855087,7.6039999235,7.0452485105,4.18,47457.6622142838,1078016.9396491
83347.6696969644,5.4681584272,5.4752526535,3.14,48226.7189277801,1453381.62430311
81699.8799955425,5.4798018296,6.4760073412,4.41,39527.0485608464,1495012.96483408
56143.7886649365,4.5801224459,6.6689797743,4.04,45084.0366595903,714148.414752902
59513.8349195212,4.8851317713,5.5747143497,3.18,44162.2792052201,894292.047410104
78379.4122390042,5.9856971511,5.6818335073,3.2,31357.3882142977,1159841.83133925
70877.3757429186,6.766877154,7.2136590753,5.07,36033.4268515435,1195986.29883487
61526.9744479767,6.593962539,9.1804014286,6.11,27307.9480314136,1381430.63018879
65316.9960207099,7.4148752307,6.7330848667,2,55799.4974811819,1534889.85346666
76268.8183338632,6.9427978666,6.147907596,3.17,38649.8523862125,1494125.32987188
48531.3642285299,6.8631840388,8.5174010591,5.3,39731.1505634947,1356146.26084262
82906.6548011591,5.9014516557,5.7673661356,4.26,38820.4819437613,1454943.07366124
63117.8440507735,4.9403967053,5.6367793946,2.31,43091.8451425058,774118.1878355
75860.8611488931,3.6908905697,4.7883802066,3.48,41003.8800811376,889113.23886125
68844.7642487581,4.8604529997,6.9168081815,3.29,48392.4973604584,1211102.21088924
52446.2668560013,5.6946108078,7.4296392441,3.11,32934.5532009749,658646.184726519
69342.706839904,5.8046867525,7.8059037024,3.36,37082.3742189118,1400104.87076026
55932.052683871,7.2183091452,6.0202012051,4,42488.3099995522,1262017.79205995
53306.9221365037,4.6322677184,6.1947943249,2.15,39063.3387138905,553077.212612076
56976.5463984169,6.0612122406,7.2592867092,3.08,46375.5024943384,1203247.89013392
51296.4886297106,6.1552597637,7.8317664756,6.18,32078.9068011665,1115323.01484241
63995.0048928011,7.5975332204,7.0900506372,5.25,24748.2682708913,1301881.41652858
71915.1466857721,6.2797538536,5.5212163706,4.47,27714.2936568563,1006687.38713887
62137.5972133109,5.4407250431,7.2351912881,5.21,19045.6195052118,749383.072555408
78050.9698277754,5.2340447679,6.2903058885,4.15,27789.7485162973,1075596.5865852
67371.4208565759,5.3338207117,6.6249512892,4.37,24797.7647585172,739870.793640266
59362.7663828537,7.4826302416,8.0030067462,3.49,44723.3537296935,1442945.14497208
57003.109637399,7.0105834598,6.3562587195,3.14,29594.6933749759,828497.067096069
68989.3122094651,6.075426018,7.8795882448,6.37,32629.6038348784,1373290.86077854
70969.9021026419,4.9018177987,6.3962680059,3.18,24833.6461450902,925566.331316076
82251.6530083296,7.7410913339,7.6366538271,6.49,18408.7986353395,1552536.76397455
71306.4572992749,5.7737171625,6.6882301697,2.04,43284.3971578627,1335904.50091554
70921.5685686471,5.6651853845,6.3753715055,3.28,29390.217270185,960808.291081754
70739.4600957301,6.7106995759,7.1665016459,6.28,35148.6677527088,1405933.01869925
58097.841822991,6.3863479956,6.1440381194,3.04,19903.0000788285,619087.693617534
51273.5088526293,7.0323172258,6.888205629,2.09,53811.8949059733,1329273.22764986
76326.5923246967,5.0246948702,4.9363290086,3.44,42779.8312959178,1261843.84432174
63584.0458800195,5.8328275712,6.0291608672,4.29,46340.1885814125,1175781.41757006
86340.2872916062,4.9300510003,6.1834400772,3.01,35630.5604514931,1437053.55720162
79471.2388169988,5.8672697782,8.1972894206,6.21,36616.1688343713,1594415.22629122
55879.5037922299,6.4079462582,5.3703866142,2.07,37360.0635574045,931357.995421926
40503.541332199,6.8817786229,6.5661752926,3.14,45979.47754493,798639.654177922
83394.4078317494,5.6014866676,5.9050243437,2.08,30487.5246232041,1451739.62465271
64501.2264490648,6.0016416909,7.2934767538,5.33,43869.3099844017,1278991.68869961
59569.5373400042,6.2795368906,7.3253795391,4.24,31294.6524604044,885920.553249364
69280.3162716821,6.8615480276,6.9236189317,4.33,40290.911494024,1425632.5419742
66342.4896811373,5.8572660817,6.9491089201,3.06,11792.8151590705,901881.742686239
73367.0459908393,6.173290661,9.054709888,5.25,23684.7879511692,1521730.79140327
57122.2248394613,5.70765003,5.9297338051,2.4,41972.7715437442,716771.005748875
61978.8480464505,7.9122760469,8.4379664159,5.37,56957.1877499331,1696717.10729937
54299.968820232,6.6358997491,6.8515358277,2.49,39512.6637056008,819598.007848179
71424.4060066885,5.5989332197,8.5225383779,3.49,37242.561593334,1584213.95748502
57353.154356747,8.0754479201,5.6785554834,4.44,16906.4217205817,798892.515039676
44731.1097999654,4.1886583285,8.9427971642,5.12,39633.4730410884,601973.001739713
76175.4939277054,4.5241406516,9.5249736123,4.28,30760.9949564715,1456486.29296315
66574.7099939311,5.5502647286,6.8441501526,2.17,69575.4494636571,1702406.03893521
91731.1543827564,5.1848107121,7.9438797198,6.3,33102.0954222083,1566471.00832536
75487.032599428,6.4539316776,7.7370956841,4.02,41105.3906304319,1592210.17592313
58088.4381296235,6.0178310005,5.7900052745,4.21,51925.4116128215,937628.346693661
76319.2186043722,6.8731301985,6.2940549509,3.45,48026.3083675307,1558547.57783752
60575.1624445922,5.9075655922,6.9646160019,2.29,32158.9679039763,1156329.27404976
69607.1336654315,7.0776808261,7.8330811917,3.35,34609.04021518,1514349.6921977
67056.8404803734,5.2221685215,7.1635175232,5.25,25134.6814845173,1039107.32630562
60640.9318812897,5.1659215286,5.3551136236,2.32,43119.5406562602,809089.671945497
69031.9088775756,5.7799762459,5.5017551376,3.23,15660.4030083548,675536.391488567
80356.209386755,4.6604178244,9.7102168956,5.02,16215.4172784877,1373589.80350174
60081.1766203647,6.7685236961,8.204552838,4.3,60195.7462671589,1690091.01869486
61881.4793096532,6.5194630535,7.1140836521,5.38,35597.3728930255,1253370.14892134
59590.9652924468,6.8917310412,5.7360294044,2.03,24153.8825229801,774073.561854088
89831.3192919978,5.2019637197,7.7196527636,6.37,45335.3602762008,1741959.83443074
72175.2834994272,7.4217389463,6.8282473047,2.09,50305.7954131864,1705762.78831897
67589.0488415116,6.2148426299,6.0608846557,2.34,33203.3839217551,1071109.9165851
77300.0314436444,5.2609747264,6.9365480243,4.49,29499.040952514,1118047.99120952
65382.888323478,5.39681918,7.6483861138,6.08,41723.054741227,1165253.03271806
71145.21270418,6.1521099752,6.7658325631,2.31,35642.5303355067,1280910.189933
61053.0380034137,5.7878906916,5.6870625762,2.02,40675.7738261271,841122.882380687
65125.9478682161,5.9284834425,7.0577579924,4.19,37642.785273074,1228810.74504552
51949.2957027281,6.2098030366,8.0511182558,5.28,35336.0630541134,1086072.07106142
75897.9888384599,5.3169332874,6.7682293986,3.33,34162.6706068033,1204372.29521967
71468.3504959454,6.1580434528,6.3612384048,3.35,43269.0333668275,1345004.11975651
53287.9920722287,5.7556092267,7.1623223763,3.32,45152.0142680081,1116902.34489304
61503.040596054,5.1308131302,7.0153173263,3.12,37650.8697093233,822431.730265177
68896.0485607892,6.3863251803,8.365074594,4.47,28394.6097802177,1360623.69445693
91159.4183271806,6.5360454279,7.3738509192,3.01,54861.091096617,2298379.48670761
63375.3484793034,6.6723400596,7.883780977,3.41,45633.1922399718,1400498.26757476
59695.5714742366,5.4453828504,6.0327952647,2.04,20702.8026700648,566848.732098608
63183.8897417217,5.5705619373,7.5418074958,5.08,58691.2006648073,1367586.27773802
61177.8081347372,6.9989282823,7.0883858826,5.13,26396.2911117997,1113373.52000173
58642.311222216,5.2099230929,6.2753711251,3.42,35131.5781451658,721974.551474637
53112.2780605234,5.1386518155,6.325363471,4.25,40367.3838709257,685503.990271808
40366.6162912573,4.9029395892,7.6171181,5.07,16349.3653943101,152071.87474956
62207.4758055884,7.2975328233,7.0028642743,5.38,34317.5383114299,1280431.57364784
57477.9507623293,5.4054448212,7.2071728222,6.35,23649.9688699109,568703.183833563
55630.4889571483,6.2831228364,8.9331199851,6,38943.0959909383,1200764.84420045
72399.3055571452,6.7406763124,7.552269769,6.15,41662.0000692644,1607161.63714503
89868.8919271984,4.5042745792,7.2344798867,5.45,30101.7245743789,1421715.41534361
59801.4910294355,4.2104627576,4.954387464,2.03,33534.9264026452,311111.200586772
61957.1543036817,7.8410805018,7.4729669635,4.19,38448.4914820249,1338044.38331259
71123.4328155373,6.6858109372,6.1692383698,3.43,44020.1441018469,1417870.98273673
55202.705470426,4.3759332442,8.2590443183,3.4,28424.9516459107,796389.437956631
79298.1220082139,7.1882081347,5.3368411556,3.44,15753.2666384864,1310207.13303943
65070.5670087092,7.1435585072,5.5797660549,4.3,24852.5651529172,994897.727764468
68494.9825521055,7.230364893,7.2654626845,5.46,13998.5712051969,1202987.82934714
55702.205376175,5.5519571318,5.6485553965,3.08,40087.7956143649,768751.900544096
57233.6084923534,7.8938341614,6.0366212153,2.27,37374.9192446283,1211655.30549004
85313.8854506901,6.0331577924,6.6337575946,4.21,23974.4355675174,1540418.22216255
60224.6517130735,4.6759401327,5.4288466671,3.23,42182.8621104635,712228.424302722
73873.8191888879,6.7898708863,6.6309090861,3.17,33336.3273467504,1525533.40662551
63149.4852289166,7.1562944333,5.5188350243,2.04,37578.8468720026,1034218.40185903
58593.7940350625,4.6629809062,6.3336169319,2.04,39287.5279024817,874103.660606592
73839.8724165726,6.4461819523,8.2740635843,4.19,47602.5102050914,1912825.28521777
75984.831108798,6.725721311,7.8877758363,4.31,42248.6858555497,1754770.59020686
82145.3694210782,6.5409679502,6.8761503289,4.23,25736.0960545575,1340066.9130844
69017.1828001266,5.7771061483,5.7836127785,3.11,55830.7528357137,1446756.86276142
75429.1789760467,6.818759161,7.5704471106,5.48,36769.2496816321,1592768.24182693
69513.5389207304,4.1229015331,7.6411073124,6.08,14054.0534332294,660364.98133583
57782.4170771091,5.1593009775,6.332626733,2.46,33426.8493754881,861321.580692472
74372.1384524794,6.5623795905,8.1845105181,6.35,34321.9601548842,1648246.7742056
63522.1219322342,5.5380428494,6.9521957663,2.04,31995.5252921874,977135.885657804
61193.7148306065,7.647150882,9.0868077174,3.21,33196.0598369835,1591934.19032791
60316.7907304723,4.3087302085,5.5643528754,4.12,33831.8936260558,695386.331038621
58469.9122025115,5.4088999651,4.8073874581,2.26,33547.9848212569,568977.072769081
75179.9029897626,4.5959209559,7.2016357989,5.13,23978.0933047016,935590.804295326
56186.9632913534,3.9920279465,8.9607425149,5.2,41855.6547351104,984311.774539692
73225.0662954686,5.9334985362,6.8686038951,2.3,61830.5397221798,1796245.80790556
74338.9277097638,5.0847148678,5.1868527957,4.07,18057.1717844535,720080.232052889
52188.1187274564,5.6368920906,5.8074014792,4.03,42495.7546773249,783808.402466168
83311.1039432499,6.6905514045,8.2975567448,3.16,30386.3663107652,1598615.97448642
72288.6752029574,6.5994346967,7.9798778237,5.11,39146.9204990548,1564125.23794177
54866.2156943578,6.9867632754,7.2854341472,3.46,35192.8440278452,929480.629895212
85759.6577619237,4.7893574182,8.9657053664,6.22,25897.7580214832,1414495.34313381
59453.3420369482,6.2911135402,7.4825714791,6.08,29697.6448058313,837668.10260211
69878.7741990808,7.218330987,6.2491922346,4.02,26814.174747584,1197515.45422484
59243.2976300167,6.7295205522,7.0587648277,4.26,51405.352484359,1232004.82983475
57853.3301960097,6.5000943059,7.3165510034,4.36,47688.2265977863,1285933.40840668
66643.3146336998,6.3928341154,7.6980075357,4.41,30971.1571063363,1361521.98293763
69248.2995879288,5.958735587,5.6526944774,2.21,35990.1033869556,1090826.37448631
75129.7211582068,6.2878369308,7.4473182958,3.37,41620.2892983985,1475319.69913558
76209.9953075871,7.0090456477,5.4643389713,4.22,22721.6493988536,1066659.38298835
69342.3765654529,6.0694869869,8.0181213329,3.43,21641.9728635459,1117432.98005745
77630.9550751082,6.8096274202,6.8296674405,2.29,31739.8891160808,1420283.55883776
68929.1580744835,7.5908784559,6.8919694931,3.24,172.6106862729,840272.864892319
70990.8049136657,6.0148141267,4.6519742945,2.46,30904.2530346627,1024907.94019351
55860.6808384666,7.7517947571,9.0245026701,5.12,40335.2202762575,1494241.22619044
56380.9883950769,5.7062605893,6.6509045286,4.37,43994.2441146079,1125880.48737074
64306.3388191362,4.8066176466,7.8796770572,4.28,30762.36020559,1082455.01751124
76547.9566977666,6.5032214699,6.9748044872,3.08,40564.6448879253,1554634.9946986
57101.7170502368,5.4931619964,7.650205974,6.09,41104.4666206493,1011365.36494212
76192.6560358653,7.3037498259,7.337589917,6.33,21245.8416192102,1432756.51709421
79585.5522298756,5.7785246954,8.4307878265,4.32,31773.3373951059,1612717.55309934
70759.8558037945,6.3679733263,5.4932940131,4.2,25981.8310031074,973299.861788715
76907.2381605467,5.2055082593,6.462700239,4.21,21658.4093225381,679228.992746839
64744.9424442967,5.9002475761,8.4675997285,6.03,28880.0175859763,1270999.93938057
51976.0239328276,5.3549225563,7.3755596505,4.42,36360.1687493179,910211.018936968
61252.6376715231,5.1899113362,7.1915726269,4.43,40890.2660286681,1026271.79594286
58841.1429235474,7.7541609673,6.9163381736,4.05,39555.0705940355,1496729.53576642
79112.6414050625,6.357250993,7.8515296001,5.27,33771.7404923558,1490539.05810979
76056.2891119593,6.4809798707,8.2452244082,5.4,28470.701474179,1491838.49444347
52399.6482202459,6.8040169709,8.9711119589,3.11,18092.1303623613,996771.248150769
77551.6277991594,5.5359209464,4.6791342541,2.03,35834.4929957576,1064854.30894013
64160.8159464993,5.6776088097,6.5349595238,4.05,32339.0062778207,985749.787356535
71167.0341449246,7.3289435831,9.442325018,4.35,35174.8713396,1952622.4017317
84963.6634083828,7.0684667657,6.2071453137,3.02,40447.0107459583,1754969.16194479
